temperature in °C,description,date
26,Sunny,2022-12-25T04:32:07.905Z
26,Sunny,2022-12-25T03:28:12.833Z
26,Sunny,2022-12-25T02:47:08.826Z
26,Sunny,2022-12-25T01:52:55.725Z
25,Partly cloudy,2022-12-24T23:26:28.568Z
25,Partly cloudy,2022-12-24T22:27:13.820Z
25,Partly cloudy,2022-12-24T21:24:19.538Z
25,Partly cloudy,2022-12-24T20:26:28.639Z
25,Partly cloudy,2022-12-24T19:24:33.868Z
25,Partly cloudy,2022-12-24T18:30:00.332Z
25,Partly cloudy,2022-12-24T17:26:05.751Z
25,Partly cloudy,2022-12-24T15:26:49.987Z
26,Partly cloudy,2022-12-24T14:25:35.731Z
26,Partly cloudy,2022-12-24T13:28:09.383Z
28,Partly cloudy,2022-12-24T12:44:28.791Z
28,Partly cloudy,2022-12-24T11:24:16.794Z
28,Partly cloudy,2022-12-24T10:28:46.041Z
28,Partly cloudy,2022-12-24T09:25:12.635Z
29,Partly cloudy,2022-12-24T08:30:51.299Z
27,Partly cloudy,2022-12-24T04:32:13.747Z
27,Partly cloudy,2022-12-24T03:28:24.460Z
27,Partly cloudy,2022-12-24T02:40:11.444Z
27,Partly cloudy,2022-12-24T01:42:39.536Z
25,Partly cloudy,2022-12-23T23:26:59.179Z
25,Partly cloudy,2022-12-23T22:28:19.188Z
26,Partly cloudy,2022-12-23T21:24:45.372Z
26,Partly cloudy,2022-12-23T20:27:39.587Z
26,Partly cloudy,2022-12-23T19:24:29.070Z
25,Partly cloudy,2022-12-23T17:27:17.002Z
25,Partly cloudy,2022-12-23T15:28:21.092Z
26,Light rain,2022-12-23T14:26:35.347Z
28,Partly cloudy,2022-12-23T12:46:30.336Z
28,Partly cloudy,2022-12-23T11:24:29.338Z
29,Partly cloudy,2022-12-23T09:26:13.822Z
29,Partly cloudy,2022-12-23T07:24:48.588Z
29,Partly cloudy,2022-12-23T06:33:06.967Z
25,Light rain,2022-12-23T05:26:47.617Z
25,Light rain,2022-12-23T04:32:42.212Z
25,Light rain,2022-12-23T03:28:51.515Z
25,Light rain,2022-12-23T02:46:35.906Z
25,Light rain,2022-12-23T01:49:15.465Z
24,Light rain,2022-12-22T23:29:11.026Z
24,Light rain,2022-12-22T22:28:34.899Z
24,Light rain,2022-12-22T21:25:33.462Z
24,Light rain,2022-12-22T20:28:03.786Z
